equipo,nombre,posicion,rating,liga
Argentina,Martinez Emiliano,Portero,89,America
Argentina,Fernandez Enzo,Mediocampista,84,Champions
Argentina,Medina Facundo,Defensa,76,Champions
Argentina,Molina Nahuel,Defensa,82,Champions
Australia,Ryan Mathew,Portero,78,Champions
Australia,Degenek Milos,Defensa,72,America
Australia,Circati Alessandro,Defensa,70,Champions
Australia,Italiano Jacob,Defensa,68,Europa
Australia,Bos Jordan,Defensa,71,Europa
Australia,Geria Jason,Defensa,67,Champions
Australia,Leckie Mathew,Delantero,74,America
Australia,Metcalfe Connor,Mediocampista,72,America
Australia,Toure Mohamed,Delantero,70,Europa
Australia,Hrustic Ajdin,Delantero,73,Champions
Australia,Mabil Awer,Delantero,74,Champions
Australia,Izzo Paul,Portero,68,Europa
Australia,Oneill Aiden,Mediocampista,70,America
Australia,Devlin Cameron,Mediocampista,68,Champions
Australia,Trewin Kai,Defensa,67,Europa
Australia,Behich Aziz,Defensa,72,Champions
Australia,Irankunda Nestory,Delantero,72,Champions
Australia,Beach Patrick,Portero,65,America
Australia,Souttar Harry,Defensa,74,Champions
Australia,Volpato Cristian,Delantero,69,Champions
Australia,Burgess Cameron,Defensa,70,Champions
Australia,Irvine Jackson,Mediocampista,73,Champions
Australia,Velupillay Nishan,Delantero,67,Europa
Australia,Okon-Engstler Paul,Mediocampista,65,Europa
Australia,Herrington Lucas,Defensa,65,Europa
Australia,Yengi Tete,Delantero,68,Champions
Austria,Schlager Alexander,Portero,76,Champions
Austria,Affengruber David,Defensa,68,Europa
Austria,Danso Kevin,Defensa,80,Champions
Austria,Schlager Xaver,Mediocampista,82,Champions
Austria,Posch Stefan,Defensa,78,Champions
Austria,Seiwald Nicolas,Mediocampista,79,Champions
Austria,Arnautovic Marko,Delantero,80,Champions
Austria,Alaba David,Defensa,84,Champions
Austria,Sabitzer Marcel,Mediocampista,82,Champions
Austria,Grillitsch Florian,Mediocampista,76,Champions
Austria,Gregoritsch Michael,Delantero,77,Champions
Austria,Wiegele Florian,Portero,65,Europa
Austria,Pentz Patrick,Portero,73,Europa
Austria,Kalajdzic Sasa,Delantero,75,Champions
Austria,Lienhart Philipp,Defensa,75,Champions
Austria,Mwene Phillip,Defensa,71,Europa
Austria,Chukwuemeka Carney,Mediocampista,74,Champions
Austria,Schmid Romano,Mediocampista,75,Champions
Austria,Ljubicic Dejan,Mediocampista,72,Champions
Austria,Laimer Konrad,Mediocampista,82,Champions
Austria,Wimmer Patrick,Delantero,74,Champions
Austria,Prass Alexander,Mediocampista,72,Champions
Austria,Friedl Marco,Defensa,74,Champions
Austria,Wanner Paul,Mediocampista,71,Champions
Austria,Svoboda Michael,Defensa,71,Champions
Austria,Schoepf Alessandro,Mediocampista,72,Champions
Bélgica,Courtois Thibaut,Portero,90,Champions
Bélgica,Debast Zeno,Defensa,78,Champions
Bélgica,Theate Arthur,Defensa,77,Champions
Bélgica,Mechele Brandon,Defensa,74,Europa
Bélgica,De Cuyper Maxim,Defensa,76,Europa
Bélgica,Witsel Axel,Mediocampista,80,Champions
Bélgica,De Bruyne Kevin,Mediocampista,91,Champions
Bélgica,Tielemans Youri,Mediocampista,83,Champions
Bélgica,Lukaku Romelu,Delantero,87,Champions
Bélgica,Trossard Leandro,Delantero,83,Champions
Bélgica,Doku Jeremy,Delantero,83,Champions
Bélgica,Lammens Senne,Portero,70,Europa
Bélgica,Penders Mike,Portero,65,Champions
Bélgica,Lukebakio Dodi,Delantero,78,Champions
Bélgica,Meunier Thomas,Defensa,79,Champions
Bélgica,De Winter Koni,Defensa,74,Champions
Bélgica,De Ketelaere Charles,Delantero,82,Champions
Bélgica,Seys Joaquin,Defensa,67,Europa
Bélgica,Moreira Diego,Mediocampista,72,Champions
Bélgica,Vanaken Hans,Mediocampista,79,Europa
Bélgica,Castagne Timothy,Defensa,78,Champions
Bélgica,Saelemaekers Alexis,Mediocampista,78,Champions
Bélgica,Raskin Nicolas,Mediocampista,75,Champions
Bélgica,Onana Amadou,Mediocampista,79,Champions
Bélgica,Ngoy Nathan,Defensa,68,Europa
Bélgica,Fernandez-Pardo Matias,Delantero,68,Europa
Bosnia y Herzegovina,Vasilj Nikola,Portero,74,Champions
Bosnia y Herzegovina,Mujakic Nihad,Defensa,68,Europa
Bosnia y Herzegovina,Hadzikadunic Dennis,Defensa,72,Champions
Bosnia y Herzegovina,Muharemovic Tarik,Defensa,70,Champions
Bosnia y Herzegovina,Kolasinac Sead,Defensa,78,Europa
Bosnia y Herzegovina,Tahirovic Benjamin,Mediocampista,73,Champions
Bosnia y Herzegovina,Dedic Amar,Defensa,72,Champions
Bosnia y Herzegovina,Gigovic Armin,Mediocampista,70,Europa
Bosnia y Herzegovina,Bazdar Samed,Delantero,70,Europa
Bosnia y Herzegovina,Demirovic Ermedin,Delantero,78,Champions
Bosnia y Herzegovina,Dzeko Edin,Delantero,81,Europa
Bosnia y Herzegovina,Jurkas Mladen,Portero,60,Europa
Bosnia y Herzegovina,Basic Ivan,Mediocampista,69,Champions
Bosnia y Herzegovina,Sunjic Ivan,Mediocampista,70,Champions
Bosnia y Herzegovina,Memic Amar,Mediocampista,69,Europa
Bosnia y Herzegovina,Hadziahmetovic Amir,Mediocampista,72,Europa
Bosnia y Herzegovina,Burnic Dzenis,Mediocampista,70,Europa
Bosnia y Herzegovina,Katic Nikola,Defensa,70,Europa
Bosnia y Herzegovina,Alajbegovic Kerim,Delantero,68,Europa
Bosnia y Herzegovina,Bajraktarevic Esmir,Delantero,69,America
Bosnia y Herzegovina,Radeljic Stjepan,Defensa,67,Europa
Bosnia y Herzegovina,Zlomislic Martin,Portero,66,Europa
Bosnia y Herzegovina,Tabakovic Haris,Delantero,72,Champions
Bosnia y Herzegovina,Malic Arjan,Defensa,66,Europa
Bosnia y Herzegovina,Lukic Jovo,Delantero,66,Europa
Bosnia y Herzegovina,Mahmic Ermin,Mediocampista,65,Europa
Brasil,Alisson,Portero,90,Champions
Brasil,Ederson Silva,Mediocampista,74,America
Brasil,Gabriel Magalhaes,Defensa,85,Champions
Brasil,Marquinhos,Defensa,87,Champions
Brasil,Casemiro,Mediocampista,85,Champions
Brasil,Alex Sandro,Defensa,78,America
Brasil,Vinicius Junior,Delantero,91,Champions
Brasil,Bruno Guimaraes,Mediocampista,87,Champions
Brasil,Matheus Cunha,Delantero,82,Champions
Brasil,Neymar Jr,Delantero,87,America
Brasil,Raphinha,Delantero,85,Champions
Brasil,Weverton,Portero,76,America
Brasil,Danilo,Defensa,79,America
Brasil,Bremer,Defensa,84,Champions
Brasil,Leo Pereira,Defensa,77,America
Brasil,Douglas Santos,Defensa,74,Champions
Brasil,Fabinho,Mediocampista,83,Asia_Africa
Brasil,Danilo Santos,Mediocampista,72,America
Brasil,Endrick,Delantero,77,Champions
Brasil,Lucas Paqueta,Mediocampista,86,Champions
Brasil,Luiz Henrique,Delantero,74,America
Brasil,Gabriel Martinelli,Delantero,83,Champions
Brasil,Ederson,Portero,86,Champions
Brasil,Roger Ibanez,Defensa,76,Asia_Africa
Brasil,Igor Thiago,Delantero,72,Europa
Brasil,Rayan,Delantero,68,America
Cabo Verde,Vozinha,Portero,68,Europa
Cabo Verde,Stopira,Defensa,66,Europa
Cabo Verde,Diney Borges,Defensa,66,Europa
Cabo Verde,Pico Lopes,Defensa,65,Europa
Cabo Verde,Logan Costa,Defensa,70,Champions
Cabo Verde,Kevin Pina,Mediocampista,70,Europa
Cabo Verde,Jovane Cabral,Mediocampista,72,Europa
Cabo Verde,Joao Paulo,Mediocampista,68,America
Cabo Verde,Gilson Benchimol,Delantero,67,Europa
Cabo Verde,Jamiro Monteiro,Mediocampista,70,America
Cabo Verde,Garry Rodrigues,Mediocampista,71,Asia_Africa
Cabo Verde,Marcio Rosa,Portero,63,Europa
Cabo Verde,Sidny Lopes Cabral,Defensa,65,Europa
Cabo Verde,Deroy Duarte,Mediocampista,67,Europa
Cabo Verde,Laros Duarte,Mediocampista,68,Europa
Cabo Verde,Yannick Semedo,Mediocampista,66,Europa
Cabo Verde,Willy Semedo,Mediocampista,67,Europa
Cabo Verde,Telmo Arcanjo,Mediocampista,67,Europa
Cabo Verde,Dailon Livramento,Delantero,68,Europa
Cabo Verde,Ryan Mendes,Delantero,68,Europa
Cabo Verde,Nuno Da Costa,Mediocampista,68,Europa
Cabo Verde,Steven Moreira,Defensa,66,Champions
Cabo Verde,Cj Dos Santos,Portero,64,Europa
Cabo Verde,Wagner Pina,Defensa,65,Europa
Cabo Verde,Kelvin Pires,Defensa,65,Europa
Cabo Verde,Helio Varela,Mediocampista,65,Europa
Canadá,St. Clair Dayne,Portero,74,America
Canadá,Johnston Alistair,Defensa,77,Champions
Canadá,Jones Ale,Defensa,72,America
Canadá,De Fougerolles Luc,Defensa,69,America
Canadá,Waterman Joel,Defensa,70,America
Canadá,Choiniere Mathieu,Mediocampista,72,America
Canadá,Eustaquio Stephen,Mediocampista,78,Europa
Canadá,Kone Ismael,Mediocampista,76,Champions
Canadá,Larin Cyle,Delantero,76,Champions
Canadá,David Jonathan,Delantero,84,Champions
Canadá,Millar Liam,Mediocampista,73,Champions
Canadá,Oluwaseyi Tani,Delantero,73,America
Canadá,Cornelius Derek,Defensa,74,America
Canadá,Shaffelburg Jacob,Mediocampista,73,America
Canadá,Bombito Moise,Defensa,74,America
Canadá,Crepeau Maxime,Portero,75,Champions
Canadá,Buchanan Tajon,Delantero,77,Champions
Canadá,Goodman Owen,Portero,65,America
Canadá,Davies Alphonso,Defensa,87,Champions
Canadá,Ahmed Ali,Delantero,70,America
Canadá,Osorio Jonathan,Mediocampista,74,America
Canadá,Laryea Richie,Defensa,72,Champions
Canadá,Sigur Niko,Defensa,69,Europa
Canadá,David Promise,Delantero,70,America
Canadá,Saliba Nathan,Mediocampista,70,America
Canadá,Nelson Jayden,Delantero,71,America
Colombia,Ospina David,Portero,82,Asia_Africa
Colombia,Munoz Daniel,Defensa,80,Champions
Colombia,Lucumi Jhon,Defensa,79,Champions
Colombia,Arias Santiago,Defensa,74,Champions
Colombia,Castano Kevin,Mediocampista,74,Champions
Colombia,Rios Richard,Mediocampista,78,Champions
Colombia,Diaz Luis,Delantero,87,Champions
Colombia,Carrascal Jorge,Mediocampista,76,America
Colombia,Cordoba Jhon,Delantero,73,Europa
Colombia,Rodriguez James,Mediocampista,83,Asia_Africa
Colombia,Arias Jhon,Mediocampista,79,America
Colombia,Vargas Camilo,Portero,73,America
Colombia,Mina Yerry,Defensa,80,America
Colombia,Puerta Gustavo,Defensa,70,Champions
Colombia,Portilla Juan,Mediocampista,71,America
Colombia,Lerma Jefferson,Mediocampista,78,Champions
Colombia,Mojica Johan,Defensa,75,Champions
Colombia,Ditta Willer,Defensa,67,Europa
Colombia,Hernandez Cucho,Delantero,78,America
Colombia,Quintero Juan,Mediocampista,79,America
Colombia,Campaz Jaminton,Delantero,70,America
Colombia,Machado Deiver,Defensa,70,Champions
Colombia,Sanchez Davinson,Defensa,83,Champions
Colombia,Montero Alvaro,Portero,72,America
Colombia,Suarez Luis,Delantero,74,America
Colombia,Gomez Andres,Delantero,69,America
Rep. Dem. del Congo,Mpasi Lionel,Portero,70,Europa
Rep. Dem. del Congo,Wan-Bissaka Aaron,Defensa,78,Champions
Rep. Dem. del Congo,Kapuadi Steve,Defensa,66,Europa
Rep. Dem. del Congo,Tuanzebe Axel,Defensa,73,Europa
Rep. Dem. del Congo,Batubinsika Dylan,Defensa,68,Champions
Rep. Dem. del Congo,Mukau Ngalayel,Mediocampista,72,Europa
Rep. Dem. del Congo,Mbuku Nathanael,Mediocampista,70,Champions
Rep. Dem. del Congo,Moutoussamy Samuel,Mediocampista,71,Champions
Rep. Dem. del Congo,Cipenga Brian,Delantero,67,Europa
Rep. Dem. del Congo,Bongonda Theo,Mediocampista,74,Europa
Rep. Dem. del Congo,Kakuta Gael,Delantero,73,Champions
Rep. Dem. del Congo,Kayembe Joris,Defensa,70,Europa
Rep. Dem. del Congo,Elia Meschack,Delantero,73,Europa
Rep. Dem. del Congo,Sadiki Noah,Mediocampista,68,Europa
Rep. Dem. del Congo,Tshibola Aaron,Mediocampista,69,Europa
Rep. Dem. del Congo,Fayulu Timothy,Portero,66,Europa
Rep. Dem. del Congo,Bakambu Cedric,Delantero,78,Champions
Rep. Dem. del Congo,Pickel Charles,Mediocampista,72,Europa
Rep. Dem. del Congo,Mayele Fiston,Delantero,72,Europa
Rep. Dem. del Congo,Wissa Yoane,Delantero,78,Champions
Rep. Dem. del Congo,Epolo Matthieu,Portero,65,Europa
Rep. Dem. del Congo,Mbemba Chancel,Defensa,76,Champions
Rep. Dem. del Congo,Banza Simon,Delantero,73,Champions
Rep. Dem. del Congo,Kalulu Gedeon,Defensa,70,Europa
Rep. Dem. del Congo,Kayembe Edo,Mediocampista,73,Europa
Rep. Dem. del Congo,Masuaku Arthur,Defensa,73,Champions
Costa de Marfil,Fofana Yahia,Portero,73,Europa
Costa de Marfil,Diomande Ousmane,Defensa,77,Champions
Costa de Marfil,Konan Ghislain,Defensa,73,Champions
Costa de Marfil,Seri Jean Michael,Mediocampista,77,Europa
Costa de Marfil,Singo Wilfried,Defensa,78,Champions
Costa de Marfil,Fofana Seko,Mediocampista,83,Champions
Costa de Marfil,Kossounou Odilon,Defensa,79,Champions
Costa de Marfil,Kessie Franck,Mediocampista,85,Champions
Costa de Marfil,Bonny Ange-Yoan,Delantero,74,Champions
Costa de Marfil,Adingra Simon,Delantero,78,Champions
Costa de Marfil,Diomande Yan,Delantero,72,Champions
Costa de Marfil,Wahi Elye,Delantero,75,Champions
Costa de Marfil,Operi Christopher,Defensa,68,Europa
Costa de Marfil,Diakite Oumar,Delantero,72,Europa
Costa de Marfil,Diallo Amad,Delantero,79,Champions
Costa de Marfil,Kone Mohamed,Portero,66,Europa
Costa de Marfil,Doue Guela,Defensa,74,Champions
Costa de Marfil,Sangare Ibrahim,Mediocampista,81,Champions
Costa de Marfil,Pepe Nicolas,Delantero,80,Champions
Costa de Marfil,Agbadou Emmanuel,Defensa,74,Champions
Costa de Marfil,Ndicka Evan,Defensa,79,Champions
Costa de Marfil,Guessand Evann,Delantero,73,Champions
Costa de Marfil,Lafont Alban,Portero,74,Champions
Costa de Marfil,Toure Bazoumana,Delantero,68,Europa
Costa de Marfil,Guiagon Parfait,Mediocampista,66,Europa
Costa de Marfil,Oulai Christ Inao,Mediocampista,66,Europa
Croacia,Livakovic Dominik,Portero,84,Europa
Croacia,Stanisic Josip,Defensa,78,Champions
Croacia,Pongracic Marin,Defensa,77,Champions
Croacia,Gvardiol Josko,Defensa,87,Champions
Croacia,Caleta-Car Duje,Defensa,78,Champions
Croacia,Sutalo Josip,Defensa,76,Champions
Croacia,Moro Nikola,Mediocampista,72,Europa
Croacia,Kovacic Mateo,Mediocampista,85,Champions
Croacia,Kramaric Andrej,Delantero,83,Champions
Croacia,Modric Luka,Mediocampista,87,Champions
Croacia,Budimir Ante,Delantero,76,Champions
Croacia,Pandur Ivor,Portero,67,Europa
Croacia,Vlasic Nikola,Mediocampista,79,Champions
Croacia,Perisic Ivan,Delantero,82,Europa
Croacia,Pasalic Mario,Mediocampista,82,Champions
Croacia,Baturina Martin,Mediocampista,74,Champions
Croacia,Sucic Petar,Mediocampista,75,Champions
Croacia,Jakic Kristijan,Defensa,72,Champions
Croacia,Fruk Toni,Mediocampista,70,Europa
Croacia,Matanovic Igor,Delantero,71,Champions
Croacia,Sucic Luka,Mediocampista,75,Champions
Croacia,Vuskovic Luka,Defensa,70,Champions
Croacia,Kotarski Dominik,Portero,71,Europa
Croacia,Pasalic Marco,Delantero,72,Champions
Croacia,Erlic Martin,Defensa,73,Champions
Croacia,Musa Petar,Delantero,73,Champions
Curazao,Room Eloy,Portero,70,Champions
Curazao,Sambo Shurandy,Defensa,65,Europa
Curazao,Gaari Jurien,Defensa,66,Europa
Curazao,Van Eijma Roshon,Defensa,65,Europa
Curazao,Floranus Sherel,Defensa,65,Europa
Curazao,Roemeratoe Godfried,Mediocampista,65,Europa
Curazao,Bacuna Juninho,Mediocampista,70,Europa
Curazao,Comenencia Livano,Mediocampista,68,Europa
Curazao,Locadia Juergen,Delantero,72,Europa
Curazao,Bacuna Leandro,Mediocampista,71,Europa
Curazao,Antonisse Jeremy,Delantero,66,Europa
Curazao,Hansen Sontje,Delantero,68,Europa
Curazao,Noslin Tyrese,Delantero,67,Champions
Curazao,Gorre Kenji,Delantero,69,Europa
Curazao,Martha Arjany,Mediocampista,66,Europa
Curazao,Margaritha Jearl,Delantero,67,Europa
Curazao,Kuwas Brandley,Delantero,69,Europa
Curazao,Obispo Armando,Defensa,68,Champions
Curazao,Kastaneer Gervane,Delantero,70,Europa
Curazao,Brenet Joshua,Defensa,66,Europa
Curazao,Chong Tahith,Mediocampista,73,Champions
Curazao,Felida Kevin,Mediocampista,65,Europa
Curazao,Bazoer Riechedly,Defensa,66,Europa
Curazao,Fonville Deveron,Defensa,65,Europa
Curazao,Bodak Tyrick,Portero,63,Europa
Curazao,Doornbusch Trevor,Portero,64,Europa
República Checa,Kovar Matej,Portero,78,Champions
República Checa,Zima David,Defensa,73,Champions
República Checa,Holes Tomas,Defensa,73,Champions
República Checa,Hranac Robin,Defensa,74,Champions
República Checa,Coufal Vladimir,Defensa,76,Champions
República Checa,Chaloupek Stepan,Defensa,68,Europa
República Checa,Krejci Ladislav,Defensa,75,Champions
República Checa,Darida Vladimir,Mediocampista,74,Europa
República Checa,Hlozek Adam,Delantero,77,Champions
República Checa,Schick Patrik,Delantero,84,Champions
República Checa,Kuchta Jan,Delantero,74,Europa
República Checa,Cerv Lukas,Mediocampista,70,Europa
República Checa,Chytil Mojmir,Delantero,73,Champions
República Checa,Jurasek David,Defensa,72,Champions
República Checa,Sulc Pavel,Delantero,73,Europa
República Checa,Stanek Jindrich,Portero,76,Europa
República Checa,Provod Lukas,Mediocampista,74,Europa
República Checa,Sadilek Michal,Mediocampista,72,Europa
República Checa,Chory Tomas,Delantero,72,Europa
República Checa,Zeleny Jaroslav,Defensa,70,Europa
República Checa,Doudera David,Defensa,71,Europa
República Checa,Soucek Tomas,Mediocampista,82,Champions
República Checa,Hornicek Lukas,Portero,67,Europa
República Checa,Sojka Alexandr,Mediocampista,68,Europa
República Checa,Sochurek Hugo,Mediocampista,65,Europa
República Checa,Visinsky Denis,Delantero,68,Europa
Ecuador,Galindez Hernan,Portero,73,America
Ecuador,Torres Felix,Defensa,78,Champions
Ecuador,Hincapie Piero,Defensa,82,Champions
Ecuador,Ordonez Joel,Defensa,73,Champions
Ecuador,Alcivar Jordy,Mediocampista,70,America
Ecuador,Pacho Willian,Defensa,81,Champions
Ecuador,Estupinan Pervis,Defensa,82,Champions
Ecuador,Valencia Anthony,Mediocampista,69,America
Ecuador,Yeboah John,Delantero,71,Europa
Ecuador,Paez Kendry,Mediocampista,74,Champions
Ecuador,Rodriguez Kevin,Delantero,73,Champions
Ecuador,Ramirez Moises,Portero,67,America
Ecuador,Valencia Enner,Delantero,79,Europa
Ecuador,Minda Alan,Mediocampista,70,America
Ecuador,Vite Pedro,Mediocampista,69,America
Ecuador,Caicedo Jordy,Delantero,72,America
Ecuador,Preciado Angelo,Defensa,74,Champions
Ecuador,Castillo Denil,Mediocampista,69,Champions
Ecuador,Plata Gonzalo,Delantero,77,America
Ecuador,Angulo Nilson,Delantero,70,America
Ecuador,Franco Alan,Mediocampista,73,America
Ecuador,Valle Gonzalo,Portero,66,America
Ecuador,Caicedo Moises,Mediocampista,85,Champions
Ecuador,Arevalo Jeremy,Delantero,68,Champions
Ecuador,Porozo Jackson,Defensa,70,Europa
Ecuador,Medina Yaimar,Defensa,67,America
Egipto,Mohamed Elshenawy,Portero,77,Asia_Africa
Egipto,Yasser Ibrahim,Defensa,69,Asia_Africa
Egipto,Mohamed Hany,Defensa,71,Asia_Africa
Egipto,Hossam Abdelmaguid,Defensa,68,Asia_Africa
Egipto,Ramy Rabia,Defensa,70,Asia_Africa
Egipto,Mohamed Abdelmoneim,Defensa,71,Asia_Africa
Egipto,Trezeguet,Delantero,79,Asia_Africa
Egipto,Emam Ashour,Mediocampista,73,Asia_Africa
Egipto,Hamza Abdelkarim,Delantero,67,Asia_Africa
Egipto,Mohamed Salah,Delantero,90,Champions
Egipto,Mostafa Zico,Mediocampista,68,Asia_Africa
Egipto,Haissem Hassan,Delantero,68,Champions
Egipto,Ahmed Fatouh,Defensa,68,Asia_Africa
Egipto,Hamdy Fathy,Mediocampista,72,Asia_Africa
Egipto,Karim Hafez,Defensa,67,Asia_Africa
Egipto,Mahdy Soliman,Portero,64,Asia_Africa
Egipto,Mohanad Lashin,Mediocampista,70,Asia_Africa
Egipto,Nabil Donga,Mediocampista,68,Asia_Africa
Egipto,Marawan Attia,Mediocampista,69,Asia_Africa
Egipto,Ibrahim Adel,Delantero,72,Asia_Africa
Egipto,Mahmoud Saber,Mediocampista,67,Asia_Africa
Egipto,Omar Marmoush,Delantero,83,Champions
Egipto,Mostafa Shoubir,Portero,69,Asia_Africa
Egipto,Tarek Alaa,Defensa,65,Asia_Africa
Egipto,Zizo,Delantero,71,Asia_Africa
Egipto,Mohamed Alaa,Portero,63,Asia_Africa
Inglaterra,Pickford Jordan,Portero,84,Champions
Inglaterra,Konsa Ezri,Defensa,82,Champions
Inglaterra,Oreilly Nico,Defensa,71,Champions
Inglaterra,Rice Declan,Mediocampista,87,Champions
Inglaterra,Stones John,Defensa,85,Champions
Inglaterra,Guehi Marc,Defensa,82,Champions
Inglaterra,Saka Bukayo,Delantero,88,Champions
Inglaterra,Anderson Elliot,Mediocampista,74,Champions
Inglaterra,Kane Harry,Delantero,91,Champions
Inglaterra,Bellingham Jude,Mediocampista,91,Champions
Inglaterra,Rashford Marcus,Delantero,85,Champions
Inglaterra,Livramento Tino,Defensa,74,Champions
Inglaterra,Henderson Dean,Portero,78,Champions
Inglaterra,Henderson Jordan,Mediocampista,79,Champions
Inglaterra,Burn Dan,Defensa,74,Champions
Inglaterra,Mainoo Kobbie,Mediocampista,78,Champions
Inglaterra,Rogers Morgan,Mediocampista,77,Champions
Inglaterra,Gordon Anthony,Delantero,78,Champions
Inglaterra,Watkins Ollie,Delantero,83,Champions
Inglaterra,Madueke Noni,Delantero,78,Champions
Inglaterra,Eze Eberechi,Mediocampista,81,Champions
Inglaterra,Toney Ivan,Delantero,78,Champions
Inglaterra,Trafford James,Portero,72,Champions
Inglaterra,James Reece,Defensa,84,Champions
Inglaterra,Spence Djed,Defensa,72,Champions
Inglaterra,Quansah Jarell,Defensa,72,Champions
Francia,Samba Brice,Portero,76,Champions
Francia,Gusto Malo,Defensa,77,Champions
Francia,Digne Lucas,Defensa,79,Champions
Francia,Upamecano Dayot,Defensa,85,Champions
Francia,Kounde Jules,Defensa,86,Champions
Francia,Kone Manu,Mediocampista,76,Champions
Francia,Dembele Ousmane,Delantero,87,Champions
Francia,Tchouameni Aurelien,Mediocampista,86,Champions
Francia,Thuram Marcus,Delantero,83,Champions
Francia,Mbappe Kylian,Delantero,91,Champions
Francia,Olise Michael,Delantero,84,Champions
Francia,Barcola Bradley,Delantero,80,Champions
Francia,Kante Ngolo,Mediocampista,86,Asia_Africa
Francia,Rabiot Adrien,Mediocampista,82,Champions
Francia,Konate Ibrahima,Defensa,85,Champions
Francia,Maignan Mike,Portero,88,Champions
Francia,Saliba William,Defensa,87,Champions
Francia,Zaire-Emery Warren,Mediocampista,78,Champions
Francia,Hernandez Theo,Defensa,85,Champions
Francia,Doue Desire,Delantero,77,Champions
Francia,Hernandez Lucas,Defensa,81,Champions
Francia,Mateta Jean-Philippe,Delantero,77,Champions
Francia,Risser Robin,Portero,65,Champions
Francia,Cherki Rayan,Mediocampista,77,Champions
Francia,Akliouche Maghnes,Mediocampista,75,Champions
Francia,Lacroix Maxence,Defensa,74,Champions
Alemania,Neuer Manuel,Portero,89,Champions
Alemania,Ruediger Antonio,Defensa,86,Champions
Alemania,Anton Waldemar,Defensa,79,Champions
Alemania,Tah Jonathan,Defensa,82,Champions
Alemania,Pavlovic Aleksandar,Mediocampista,78,Champions
Alemania,Kimmich Joshua,Defensa,88,Champions
Alemania,Havertz Kai,Delantero,85,Champions
Alemania,Goretzka Leon,Mediocampista,83,Champions
Alemania,Leweling Jamie,Mediocampista,73,Champions
Alemania,Musiala Jamal,Mediocampista,88,Champions
Alemania,Woltemade Nick,Delantero,74,Champions
Alemania,Baumann Oliver,Portero,76,Champions
Alemania,Gross Pascal,Mediocampista,78,Champions
Alemania,Beier Maximilian,Delantero,76,Champions
Alemania,Schlotterbeck Nico,Defensa,82,Champions
Alemania,Stiller Angelo,Mediocampista,75,Champions
Alemania,Wirtz Florian,Mediocampista,89,Champions
Alemania,Brown Nathaniel,Defensa,70,Champions
Alemania,Sane Leroy,Mediocampista,85,Champions
Alemania,Amiri Nadiem,Mediocampista,72,Champions
Alemania,Nuebel Alexander,Portero,77,Champions
Alemania,Raum David,Defensa,78,Champions
Alemania,Nmecha Felix,Mediocampista,74,Champions
Alemania,Thiaw Malick,Defensa,78,Champions
Alemania,Ouedraogo Assan,Mediocampista,69,Champions
Alemania,Undav Deniz,Delantero,77,Champions
